region,experiment,year,mean_temp,anomaly
subtropical,historical,1914,291.0365295410156,-0.15009155273435226
subtropical,historical,1915,291.1481628417969,-0.03845825195310226
subtropical,historical,1916,291.1773986816406,-0.009222412109352263
subtropical,historical,1917,291.1236877441406,-0.06293334960935226
subtropical,historical,1918,291.1941223144531,0.007501220703147737
subtropical,historical,1919,291.1402587890625,-0.04636230468747726
subtropical,historical,1920,291.1748046875,-0.011816406249977263
subtropical,historical,1921,291.228271484375,0.04165039062502274
subtropical,historical,1922,291.1639709472656,-0.022650146484352263
subtropical,historical,1923,291.18524169921875,-0.0013793945312272626
subtropical,historical,1924,291.10528564453125,-0.08133544921872726
subtropical,historical,1925,291.2694396972656,0.08281860351564774
subtropical,historical,1926,291.2829284667969,0.09630737304689774
subtropical,historical,1927,291.20721435546875,0.020593261718772737
subtropical,historical,1928,291.2360534667969,0.04943237304689774
subtropical,historical,1929,291.2371520996094,0.05053100585939774
subtropical,historical,1930,291.1825256347656,-0.004095458984352263
subtropical,historical,1931,291.1220397949219,-0.06458129882810226
subtropical,historical,1932,291.04833984375,-0.13828124999997726
subtropical,historical,1933,291.2210388183594,0.03441772460939774
subtropical,historical,1934,291.15240478515625,-0.03421630859372726
subtropical,historical,1935,291.18682861328125,0.00020751953127273737
subtropical,historical,1936,291.2680358886719,0.08141479492189774
subtropical,historical,1937,291.25506591796875,0.06844482421877274
subtropical,historical,1938,291.2031555175781,0.016534423828147737
subtropical,historical,1939,291.1410217285156,-0.04559936523435226
subtropical,historical,1940,291.2306213378906,0.04400024414064774
subtropical,historical,1941,291.2492980957031,0.06267700195314774
subtropical,historical,1942,291.2861328125,0.09951171875002274
subtropical,historical,1943,291.1899719238281,0.0033508300781477374
subtropical,historical,1944,291.1850891113281,-0.0015319824218522626
subtropical,historical,1945,291.1851501464844,-0.0014709472656022626
subtropical,historical,1946,291.2242126464844,0.03759155273439774
subtropical,historical,1947,291.0787658691406,-0.10785522460935226
subtropical,historical,1948,291.1153869628906,-0.07123413085935226
subtropical,historical,1949,291.27264404296875,0.08602294921877274
subtropical,historical,1950,291.2158203125,0.029199218750022737
subtropical,historical,1951,291.357177734375,0.17055664062502274
subtropical,historical,1952,291.2317199707031,0.04509887695314774
subtropical,historical,1953,291.3052673339844,0.11864624023439774
subtropical,historical,1954,291.3006896972656,0.11406860351564774
subtropical,historical,1955,291.2283020019531,0.04168090820314774
subtropical,historical,1956,291.1262512207031,-0.06036987304685226
subtropical,historical,1957,291.11944580078125,-0.06717529296872726
subtropical,historical,1958,291.1752014160156,-0.011419677734352263
subtropical,historical,1959,291.22344970703125,0.03682861328127274
subtropical,historical,1960,291.216796875,0.030175781250022737
subtropical,historical,1961,291.1895751953125,0.0029541015625227374
subtropical,historical,1962,291.203369140625,0.016748046875022737
subtropical,historical,1963,291.15692138671875,-0.029699707031227263
subtropical,historical,1964,291.0276794433594,-0.15894165039060226
subtropical,historical,1965,291.0797424316406,-0.10687866210935226
subtropical,historical,1966,291.06158447265625,-0.12503662109372726
subtropical,historical,1967,291.1414489746094,-0.04517211914060226
subtropical,historical,1968,291.0724182128906,-0.11420288085935226
subtropical,historical,1969,291.1973571777344,0.010736083984397737
subtropical,historical,1970,291.1900939941406,0.0034729003906477374
subtropical,historical,1971,291.1080627441406,-0.07855834960935226
subtropical,historical,1972,291.2244567871094,0.03783569335939774
subtropical,historical,1973,291.2037048339844,0.017083740234397737
subtropical,historical,1974,291.11328125,-0.07333984374997726
subtropical,historical,1975,291.2296447753906,0.04302368164064774
subtropical,historical,1976,291.23944091796875,0.05281982421877274
subtropical,historical,1977,291.137451171875,-0.04916992187497726
subtropical,historical,1978,291.2868347167969,0.10021362304689774
subtropical,historical,1979,291.2030029296875,0.016381835937522737
subtropical,historical,1980,291.2482604980469,0.06163940429689774
subtropical,historical,1981,291.2596130371094,0.07299194335939774
subtropical,historical,1982,291.1207580566406,-0.06586303710935226
subtropical,historical,1983,291.2408752441406,0.05425415039064774
subtropical,historical,1984,291.1978759765625,0.011254882812522737
subtropical,historical,1985,291.177490234375,-0.009130859374977263
subtropical,historical,1986,291.2446594238281,0.05803833007814774
subtropical,historical,1987,291.2934265136719,0.10680541992189774
subtropical,historical,1988,291.3121337890625,0.12551269531252274
subtropical,historical,1989,291.3277893066406,0.14116821289064774
subtropical,historical,1990,291.6241760253906,0.43755493164064774
subtropical,historical,1991,291.4168395996094,0.23021850585939774
subtropical,historical,1992,291.2384338378906,0.05181274414064774
subtropical,historical,1993,291.3301696777344,0.14354858398439774
subtropical,historical,1994,291.4840087890625,0.29738769531252274
subtropical,historical,1995,291.4477233886719,0.26110229492189774
subtropical,historical,1996,291.4545593261719,0.26793823242189774
subtropical,historical,1997,291.5406188964844,0.35399780273439774
subtropical,historical,1998,291.6280822753906,0.44146118164064774
subtropical,historical,1999,291.6494445800781,0.46282348632814774
subtropical,historical,2000,291.6925964355469,0.5059753417968977
subtropical,historical,2001,291.7949523925781,0.6083312988281477
subtropical,historical,2002,291.8727111816406,0.6860900878906477
subtropical,historical,2003,291.9136962890625,0.7270751953125227
subtropical,historical,2004,291.85125732421875,0.6646362304687727
subtropical,historical,2005,291.8994140625,0.7127929687500227
subtropical,historical,2006,291.8463439941406,0.6597229003906477
subtropical,historical,2007,291.84063720703125,0.6540161132812727
subtropical,historical,2008,291.776123046875,0.5895019531250227
subtropical,historical,2009,291.8847351074219,0.6981140136718977
subtropical,historical,2010,291.9161376953125,0.7295166015625227
subtropical,historical,2011,291.9796142578125,0.7929931640625227
subtropical,historical,2012,291.9649658203125,0.7783447265625227
subtropical,historical,2013,291.99786376953125,0.8112426757812727
subtropical,historical,2014,292.0744934082031,0.8878723144531477
temperate,historical,1850,279.0074768066406,0.011584472656238631
temperate,historical,1851,278.921875,-0.07401733398438637
temperate,historical,1852,279.0573425292969,0.06145019531248863
temperate,historical,1853,278.666748046875,-0.32914428710938637
temperate,historical,1854,278.7139892578125,-0.28190307617188637
temperate,historical,1855,278.8440246582031,-0.15186767578126137
temperate,historical,1856,279.0093994140625,0.013507080078113631
temperate,historical,1857,278.8604431152344,-0.13544921875001137
temperate,historical,1858,278.6936340332031,-0.30225830078126137
temperate,historical,1859,278.98077392578125,-0.015118408203136369
temperate,historical,1860,279.0682678222656,0.07237548828123863
temperate,historical,1861,278.9421081542969,-0.05378417968751137
temperate,historical,1862,278.72882080078125,-0.26707153320313637
temperate,historical,1863,278.9786376953125,-0.01725463867188637
temperate,historical,1864,278.71453857421875,-0.28135375976563637
temperate,historical,1865,278.7572937011719,-0.23859863281251137
temperate,historical,1866,279.07049560546875,0.07460327148436363
temperate,historical,1867,279.03521728515625,0.03932495117186363
temperate,historical,1868,279.0128479003906,0.01695556640623863
temperate,historical,1869,278.7364807128906,-0.25941162109376137
temperate,historical,1870,278.994140625,-0.0017517089843863687
temperate,historical,1871,279.0087585449219,0.012866210937488631
temperate,historical,1872,278.9146423339844,-0.08125000000001137
temperate,historical,1873,278.9318542480469,-0.06403808593751137
temperate,historical,1874,278.8436584472656,-0.15223388671876137
temperate,historical,1875,279.1591491699219,0.16325683593748863
temperate,historical,1876,279.1860656738281,0.19017333984373863
temperate,historical,1877,278.9414978027344,-0.05439453125001137
temperate,historical,1878,279.1280822753906,0.13218994140623863
temperate,historical,1879,279.1307067871094,0.13481445312498863
temperate,historical,1880,279.1647644042969,0.16887207031248863
temperate,historical,1881,279.1064758300781,0.11058349609373863
temperate,historical,1882,279.234619140625,0.23872680664061363
temperate,historical,1883,278.8985595703125,-0.09733276367188637
temperate,historical,1884,278.6011962890625,-0.39469604492188637
temperate,historical,1885,278.7434997558594,-0.25239257812501137
