,region,experiment,year,mean_temp,anomaly
0,tropical,historical,1850,298.0881042480469,-0.405609130859375
1,tropical,historical,1851,297.8171691894531,-0.676544189453125
2,tropical,historical,1852,297.83544921875,-0.65826416015625
3,tropical,historical,1853,298.1378173828125,-0.35589599609375
4,tropical,historical,1854,298.0655212402344,-0.428192138671875
5,tropical,historical,1855,298.1938781738281,-0.299835205078125
6,tropical,historical,1856,298.3362731933594,-0.157440185546875
7,tropical,historical,1857,298.3572692871094,-0.136444091796875
8,tropical,historical,1858,298.08599853515625,-0.40771484375
9,tropical,historical,1859,298.1887512207031,-0.304962158203125
10,tropical,historical,1860,297.9490051269531,-0.544708251953125
11,tropical,historical,1861,297.7794494628906,-0.714263916015625
12,tropical,historical,1862,297.8515930175781,-0.642120361328125
13,tropical,historical,1863,297.9250793457031,-0.568634033203125
14,tropical,historical,1864,298.174560546875,-0.31915283203125
15,tropical,historical,1865,298.2508850097656,-0.242828369140625
16,tropical,historical,1866,298.4503173828125,-0.04339599609375
17,tropical,historical,1867,298.5197448730469,0.026031494140625
18,tropical,historical,1868,298.3716735839844,-0.122039794921875
19,tropical,historical,1869,298.15777587890625,-0.3359375
20,tropical,historical,1870,298.3020935058594,-0.191619873046875
21,tropical,historical,1871,298.1409912109375,-0.35272216796875
22,tropical,historical,1872,298.1120300292969,-0.381683349609375
23,tropical,historical,1873,298.2615661621094,-0.232147216796875
24,tropical,historical,1874,298.3125915527344,-0.181121826171875
25,tropical,historical,1875,298.17694091796875,-0.3167724609375
26,tropical,historical,1876,298.0095520019531,-0.484161376953125
27,tropical,historical,1877,298.2349548339844,-0.258758544921875
28,tropical,historical,1878,298.4891357421875,-0.00457763671875
29,tropical,historical,1879,298.7698669433594,0.276153564453125
30,tropical,historical,1880,298.2011413574219,-0.292572021484375
31,tropical,historical,1881,298.0849914550781,-0.408721923828125
32,tropical,historical,1882,298.50762939453125,0.013916015625
33,tropical,historical,1883,298.4363708496094,-0.057342529296875
34,tropical,historical,1884,298.1767883300781,-0.316925048828125
35,tropical,historical,1885,298.4615173339844,-0.032196044921875
36,tropical,historical,1886,298.4222106933594,-0.071502685546875
37,tropical,historical,1887,298.3135681152344,-0.180145263671875
38,tropical,historical,1888,298.0828552246094,-0.410858154296875
39,tropical,historical,1889,297.9995422363281,-0.494171142578125
40,tropical,historical,1890,298.1195983886719,-0.374114990234375
41,tropical,historical,1891,298.1580505371094,-0.335662841796875
42,tropical,historical,1892,298.1119689941406,-0.381744384765625
43,tropical,historical,1893,298.24853515625,-0.24517822265625
44,tropical,historical,1894,298.3612060546875,-0.13250732421875
45,tropical,historical,1895,298.2306213378906,-0.263092041015625
46,tropical,historical,1896,298.2338562011719,-0.259857177734375
47,tropical,historical,1897,298.3908996582031,-0.102813720703125
48,tropical,historical,1898,298.7392883300781,0.245574951171875
49,tropical,historical,1899,298.6385803222656,0.144866943359375
50,tropical,historical,1900,298.62225341796875,0.1285400390625
51,tropical,historical,1901,298.4591979980469,-0.034515380859375
52,tropical,historical,1902,298.0109558105469,-0.482757568359375
53,tropical,historical,1903,298.3620300292969,-0.131683349609375
54,tropical,historical,1904,298.6350402832031,0.141326904296875
55,tropical,historical,1905,298.42938232421875,-0.0643310546875
56,tropical,historical,1906,298.5950012207031,0.101287841796875
57,tropical,historical,1907,298.3086853027344,-0.185028076171875
58,tropical,historical,1908,298.1045837402344,-0.389129638671875
59,tropical,historical,1909,298.3356628417969,-0.158050537109375
60,tropical,historical,1910,298.3290710449219,-0.164642333984375
61,tropical,historical,1911,298.3470764160156,-0.146636962890625
62,tropical,historical,1912,298.33984375,-0.15386962890625
63,tropical,historical,1913,298.2402038574219,-0.253509521484375
64,tropical,historical,1914,298.2414245605469,-0.252288818359375
65,tropical,historical,1915,298.2024841308594,-0.291229248046875
66,tropical,historical,1916,298.475830078125,-0.01788330078125
67,tropical,historical,1917,298.4455261230469,-0.048187255859375
68,tropical,historical,1918,298.43365478515625,-0.06005859375
69,tropical,historical,1919,298.2563781738281,-0.237335205078125
70,tropical,historical,1920,298.3727722167969,-0.120941162109375
71,tropical,historical,1921,298.5981140136719,0.104400634765625
72,tropical,historical,1922,298.5233459472656,0.029632568359375
73,tropical,historical,1923,298.49951171875,0.00579833984375
74,tropical,historical,1924,298.70416259765625,0.21044921875
75,tropical,historical,1925,298.1883544921875,-0.30535888671875
76,tropical,historical,1926,298.2398986816406,-0.253814697265625
77,tropical,historical,1927,298.4454040527344,-0.048309326171875
78,tropical,historical,1928,298.4619445800781,-0.031768798828125
79,tropical,historical,1929,298.2466735839844,-0.247039794921875
80,tropical,historical,1930,298.365478515625,-0.12823486328125
81,tropical,historical,1931,298.49627685546875,0.0025634765625
82,tropical,historical,1932,298.4125061035156,-0.081207275390625
83,tropical,historical,1933,298.1719055175781,-0.321807861328125
84,tropical,historical,1934,298.2617492675781,-0.231964111328125
85,tropical,historical,1935,298.8305969238281,0.336883544921875
86,tropical,historical,1936,299.0287780761719,0.535064697265625
87,tropical,historical,1937,298.505615234375,0.01190185546875
88,tropical,historical,1938,298.58251953125,0.08880615234375
89,tropical,historical,1939,298.5868225097656,0.093109130859375
90,tropical,historical,1940,298.3585510253906,-0.135162353515625
91,tropical,historical,1941,298.4717712402344,-0.021942138671875
92,tropical,historical,1942,298.516845703125,0.02313232421875
93,tropical,historical,1943,298.61810302734375,0.1243896484375
94,tropical,historical,1944,298.6830139160156,0.189300537109375
95,tropical,historical,1945,298.1614074707031,-0.332305908203125
96,tropical,historical,1946,298.2618103027344,-0.231903076171875
97,tropical,historical,1947,298.0679016113281,-0.425811767578125
98,tropical,historical,1948,298.2074279785156,-0.286285400390625
99,tropical,historical,1949,298.5991516113281,0.105438232421875
100,tropical,historical,1950,298.5582275390625,0.06451416015625
101,tropical,historical,1951,298.7861328125,0.29241943359375
102,tropical,historical,1952,298.8948669433594,0.401153564453125
103,tropical,historical,1953,298.4834899902344,-0.010223388671875
104,tropical,historical,1954,298.42138671875,-0.07232666015625
105,tropical,historical,1955,298.6043395996094,0.110626220703125
106,tropical,historical,1956,298.7331237792969,0.239410400390625
107,tropical,historical,1957,298.6844482421875,0.19073486328125
108,tropical,historical,1958,298.3119201660156,-0.181793212890625
109,tropical,historical,1959,297.8509826660156,-0.642730712890625
110,tropical,historical,1960,298.0088806152344,-0.484832763671875
111,tropical,historical,1961,298.3310852050781,-0.162628173828125
112,tropical,historical,1962,298.2507629394531,-0.242950439453125
113,tropical,historical,1963,298.5965270996094,0.102813720703125
114,tropical,historical,1964,298.6697082519531,0.175994873046875
115,tropical,historical,1965,298.4354248046875,-0.05828857421875
116,tropical,historical,1966,298.3912658691406,-0.102447509765625
117,tropical,historical,1967,298.4246826171875,-0.06903076171875
118,tropical,historical,1968,298.4762268066406,-0.017486572265625
119,tropical,historical,1969,298.3503112792969,-0.143402099609375
120,tropical,historical,1970,298.2929992675781,-0.200714111328125
121,tropical,historical,1971,298.3084411621094,-0.185272216796875
122,tropical,historical,1972,298.6070861816406,0.113372802734375
123,tropical,historical,1973,298.7715759277344,0.277862548828125
124,tropical,historical,1974,298.3274841308594,-0.166229248046875
125,tropical,historical,1975,298.36358642578125,-0.130126953125
126,tropical,historical,1976,298.6353454589844,0.141632080078125
127,tropical,historical,1977,298.7615051269531,0.267791748046875
128,tropical,historical,1978,298.9097595214844,0.416046142578125
129,tropical,historical,1979,298.6064147949219,0.112701416015625
130,tropical,historical,1980,298.5218811035156,0.028167724609375
131,tropical,historical,1981,299.00823974609375,0.5145263671875
132,tropical,historical,1982,298.7994689941406,0.305755615234375
133,tropical,historical,1983,298.3968505859375,-0.09686279296875
134,tropical,historical,1984,298.77783203125,0.28411865234375
135,tropical,historical,1985,298.64117431640625,0.1474609375
136,tropical,historical,1986,298.25140380859375,-0.2423095703125
137,tropical,historical,1987,298.3445739746094,-0.149139404296875
138,tropical,historical,1988,298.7830505371094,0.289337158203125
139,tropical,historical,1989,298.7624206542969,0.268707275390625
140,tropical,historical,1990,298.5318603515625,0.03814697265625
141,tropical,historical,1991,298.5550231933594,0.061309814453125
142,tropical,historical,1992,298.77484130859375,0.2811279296875
143,tropical,historical,1993,298.7513732910156,0.257659912109375
144,tropical,historical,1994,298.64349365234375,0.1497802734375
145,tropical,historical,1995,298.5929260253906,0.099212646484375
146,tropical,historical,1996,298.7182312011719,0.224517822265625
147,tropical,historical,1997,298.7073669433594,0.213653564453125
148,tropical,historical,1998,298.5815734863281,0.087860107421875
149,tropical,historical,1999,298.8172912597656,0.323577880859375
150,tropical,historical,2000,299.1275939941406,0.633880615234375
151,tropical,historical,2001,299.2624816894531,0.768768310546875
152,tropical,historical,2002,299.0709533691406,0.577239990234375
153,tropical,historical,2003,299.1763610839844,0.682647705078125
154,tropical,historical,2004,299.0195007324219,0.525787353515625
155,tropical,historical,2005,298.74560546875,0.25189208984375
156,tropical,historical,2006,298.8224792480469,0.328765869140625
157,tropical,historical,2007,299.1106262207031,0.616912841796875
158,tropical,historical,2008,299.0540466308594,0.560333251953125
159,tropical,historical,2009,298.7997131347656,0.305999755859375
160,tropical,historical,2010,298.9400939941406,0.446380615234375
161,tropical,historical,2011,299.2947692871094,0.801055908203125
162,tropical,historical,2012,299.3212585449219,0.827545166015625
163,tropical,historical,2013,299.0874938964844,0.593780517578125
164,tropical,historical,2014,298.99365234375,0.49993896484375
165,subtropical,historical,1850,290.9867858886719,-0.199798583984375
166,subtropical,historical,1851,290.91973876953125,-0.266845703125
167,subtropical,historical,1852,291.06805419921875,-0.1185302734375
168,subtropical,historical,1853,291.0303649902344,-0.156219482421875
169,subtropical,historical,1854,290.9344482421875,-0.25213623046875
170,subtropical,historical,1855,291.005126953125,-0.18145751953125
171,subtropical,historical,1856,290.9539794921875,-0.23260498046875
172,subtropical,historical,1857,290.9688720703125,-0.21771240234375
173,subtropical,historical,1858,291.0477600097656,-0.138824462890625
174,subtropical,historical,1859,291.13623046875,-0.05035400390625
175,subtropical,historical,1860,291.0849304199219,-0.101654052734375
176,subtropical,historical,1861,291.0931701660156,-0.093414306640625
177,subtropical,historical,1862,291.0000305175781,-0.186553955078125
178,subtropical,historical,1863,290.9436950683594,-0.242889404296875
179,subtropical,historical,1864,290.9553527832031,-0.231231689453125
180,subtropical,historical,1865,290.9541015625,-0.23248291015625
181,subtropical,historical,1866,291.0796813964844,-0.106903076171875
182,subtropical,historical,1867,291.1296081542969,-0.056976318359375
183,subtropical,historical,1868,291.0507507324219,-0.135833740234375
184,subtropical,historical,1869,291.0601806640625,-0.12640380859375
185,subtropical,historical,1870,291.0749816894531,-0.111602783203125
186,subtropical,historical,1871,291.0888366699219,-0.097747802734375
187,subtropical,historical,1872,291.04974365234375,-0.1368408203125
188,subtropical,historical,1873,291.1042175292969,-0.082366943359375
189,subtropical,historical,1874,291.111572265625,-0.07501220703125
190,subtropical,historical,1875,290.96124267578125,-0.225341796875
191,subtropical,historical,1876,291.1396484375,-0.04693603515625
192,subtropical,historical,1877,291.1391906738281,-0.047393798828125
193,subtropical,historical,1878,291.19281005859375,0.0062255859375
194,subtropical,historical,1879,291.2522277832031,0.065643310546875
195,subtropical,historical,1880,291.2385559082031,0.051971435546875
196,subtropical,historical,1881,291.1775817871094,-0.009002685546875
197,subtropical,historical,1882,291.2027893066406,0.016204833984375
198,subtropical,historical,1883,291.1752624511719,-0.011322021484375
199,subtropical,historical,1884,290.9350891113281,-0.251495361328125
200,subtropical,historical,1885,290.8260803222656,-0.360504150390625
201,subtropical,historical,1886,291.0735778808594,-0.113006591796875
202,subtropical,historical,1887,290.97052001953125,-0.216064453125
203,subtropical,historical,1888,291.0444641113281,-0.142120361328125
204,subtropical,historical,1889,290.94317626953125,-0.243408203125
205,subtropical,historical,1890,290.9833679199219,-0.203216552734375
206,subtropical,historical,1891,291.0074157714844,-0.179168701171875
207,subtropical,historical,1892,291.0576477050781,-0.128936767578125
208,subtropical,historical,1893,291.0826110839844,-0.103973388671875
209,subtropical,historical,1894,291.0633239746094,-0.123260498046875
210,subtropical,historical,1895,291.0467834472656,-0.139801025390625
211,subtropical,historical,1896,291.0567932128906,-0.129791259765625
212,subtropical,historical,1897,291.2386169433594,0.052032470703125
213,subtropical,historical,1898,291.1864318847656,-0.000152587890625
214,subtropical,historical,1899,291.1499938964844,-0.036590576171875
215,subtropical,historical,1900,291.17767333984375,-0.0089111328125
216,subtropical,historical,1901,291.0939025878906,-0.092681884765625
217,subtropical,historical,1902,291.048095703125,-0.13848876953125
218,subtropical,historical,1903,290.9889831542969,-0.197601318359375
219,subtropical,historical,1904,290.9818115234375,-0.20477294921875
220,subtropical,historical,1905,291.05255126953125,-0.134033203125
221,subtropical,historical,1906,291.1536560058594,-0.032928466796875
222,subtropical,historical,1907,291.0101623535156,-0.176422119140625
223,subtropical,historical,1908,291.00396728515625,-0.1826171875
224,subtropical,historical,1909,291.0239562988281,-0.162628173828125
225,subtropical,historical,1910,291.0340270996094,-0.152557373046875
226,subtropical,historical,1911,291.01910400390625,-0.16748046875
227,subtropical,historical,1912,290.93670654296875,-0.2498779296875
228,subtropical,historical,1913,290.8944396972656,-0.292144775390625
229,subtropical,historical,1914,291.0365295410156,-0.150054931640625
230,subtropical,historical,1915,291.1481628417969,-0.038421630859375
231,subtropical,historical,1916,291.1773986816406,-0.009185791015625
232,subtropical,historical,1917,291.1236877441406,-0.062896728515625
233,subtropical,historical,1918,291.1941223144531,0.007537841796875
234,subtropical,historical,1919,291.1402587890625,-0.04632568359375
235,subtropical,historical,1920,291.1748046875,-0.01177978515625
236,subtropical,historical,1921,291.228271484375,0.04168701171875
237,subtropical,historical,1922,291.1639709472656,-0.022613525390625
238,subtropical,historical,1923,291.18524169921875,-0.0013427734375
239,subtropical,historical,1924,291.10528564453125,-0.081298828125
240,subtropical,historical,1925,291.2694396972656,0.082855224609375
241,subtropical,historical,1926,291.2829284667969,0.096343994140625
242,subtropical,historical,1927,291.20721435546875,0.0206298828125
243,subtropical,historical,1928,291.2360534667969,0.049468994140625
244,subtropical,historical,1929,291.2371520996094,0.050567626953125
245,subtropical,historical,1930,291.1825256347656,-0.004058837890625
246,subtropical,historical,1931,291.1220397949219,-0.064544677734375
247,subtropical,historical,1932,291.04833984375,-0.13824462890625
248,subtropical,historical,1933,291.2210388183594,0.034454345703125
249,subtropical,historical,1934,291.15240478515625,-0.0341796875
250,subtropical,historical,1935,291.18682861328125,0.000244140625
251,subtropical,historical,1936,291.2680358886719,0.081451416015625
252,subtropical,historical,1937,291.25506591796875,0.0684814453125
253,subtropical,historical,1938,291.2031555175781,0.016571044921875
254,subtropical,historical,1939,291.1410217285156,-0.045562744140625
255,subtropical,historical,1940,291.2306213378906,0.044036865234375
256,subtropical,historical,1941,291.2492980957031,0.062713623046875
257,subtropical,historical,1942,291.2861328125,0.09954833984375
258,subtropical,historical,1943,291.1899719238281,0.003387451171875
259,subtropical,historical,1944,291.1850891113281,-0.001495361328125
260,subtropical,historical,1945,291.1851501464844,-0.001434326171875
261,subtropical,historical,1946,291.2242126464844,0.037628173828125
262,subtropical,historical,1947,291.0787658691406,-0.107818603515625
263,subtropical,historical,1948,291.1153869628906,-0.071197509765625
264,subtropical,historical,1949,291.27264404296875,0.0860595703125
265,subtropical,historical,1950,291.2158203125,0.02923583984375
266,subtropical,historical,1951,291.357177734375,0.17059326171875
267,subtropical,historical,1952,291.2317199707031,0.045135498046875
268,subtropical,historical,1953,291.3052673339844,0.118682861328125
269,subtropical,historical,1954,291.3006896972656,0.114105224609375
270,subtropical,historical,1955,291.2283020019531,0.041717529296875
271,subtropical,historical,1956,291.1262512207031,-0.060333251953125
272,subtropical,historical,1957,291.11944580078125,-0.067138671875
273,subtropical,historical,1958,291.1752014160156,-0.011383056640625
274,subtropical,historical,1959,291.22344970703125,0.036865234375
275,subtropical,historical,1960,291.216796875,0.03021240234375
276,subtropical,historical,1961,291.1895751953125,0.00299072265625
277,subtropical,historical,1962,291.203369140625,0.01678466796875
278,subtropical,historical,1963,291.15692138671875,-0.0296630859375
279,subtropical,historical,1964,291.0276794433594,-0.158905029296875
280,subtropical,historical,1965,291.0797424316406,-0.106842041015625
281,subtropical,historical,1966,291.06158447265625,-0.125
282,subtropical,historical,1967,291.1414489746094,-0.045135498046875
283,subtropical,historical,1968,291.0724182128906,-0.114166259765625
284,subtropical,historical,1969,291.1973571777344,0.010772705078125
285,subtropical,historical,1970,291.1900939941406,0.003509521484375
286,subtropical,historical,1971,291.1080627441406,-0.078521728515625
287,subtropical,historical,1972,291.2244567871094,0.037872314453125
288,subtropical,historical,1973,291.2037048339844,0.017120361328125
289,subtropical,historical,1974,291.11328125,-0.07330322265625
290,subtropical,historical,1975,291.2296447753906,0.043060302734375
291,subtropical,historical,1976,291.23944091796875,0.0528564453125
292,subtropical,historical,1977,291.137451171875,-0.04913330078125
293,subtropical,historical,1978,291.2868347167969,0.100250244140625
294,subtropical,historical,1979,291.2030029296875,0.01641845703125
295,subtropical,historical,1980,291.2482604980469,0.061676025390625
296,subtropical,historical,1981,291.2596130371094,0.073028564453125
297,subtropical,historical,1982,291.1207580566406,-0.065826416015625
298,subtropical,historical,1983,291.2408752441406,0.054290771484375
299,subtropical,historical,1984,291.1978759765625,0.01129150390625
300,subtropical,historical,1985,291.177490234375,-0.00909423828125
301,subtropical,historical,1986,291.2446594238281,0.058074951171875
302,subtropical,historical,1987,291.2934265136719,0.106842041015625
303,subtropical,historical,1988,291.3121337890625,0.12554931640625
304,subtropical,historical,1989,291.3277893066406,0.141204833984375
305,subtropical,historical,1990,291.6241760253906,0.437591552734375
