,region,year,mean_temp,anomaly
0,tropical,1850,298.61798095703125,0.0048675537109375
1,tropical,1851,298.6003723144531,-0.012713114731013775
2,tropical,1852,298.2243957519531,-0.38869985938072205
3,tropical,1853,298.2918701171875,-0.3212127685546875
4,tropical,1854,298.2622375488281,-0.35083770751953125
5,tropical,1855,298.0516662597656,-0.5614497065544128
6,tropical,1856,298.3760070800781,-0.23712413012981415
7,tropical,1857,298.3927001953125,-0.2204081267118454
8,tropical,1858,298.38739013671875,-0.2256927490234375
9,tropical,1859,298.5586242675781,-0.0544840507209301
10,tropical,1860,298.62750244140625,0.014394124038517475
11,tropical,1861,298.2721252441406,-0.3409525454044342
12,tropical,1862,298.53265380859375,-0.0804697647690773
13,tropical,1863,298.7985534667969,0.1854502409696579
14,tropical,1864,298.5983581542969,-0.014757792465388775
15,tropical,1865,298.3507995605469,-0.2622629702091217
16,tropical,1866,298.4207458496094,-0.19238026440143585
17,tropical,1867,298.3643493652344,-0.24874623119831085
18,tropical,1868,298.4244689941406,-0.18861134350299835
19,tropical,1869,298.4200439453125,-0.19304148852825165
20,tropical,1870,298.2134094238281,-0.39970144629478455
21,tropical,1871,298.2540588378906,-0.3590545654296875
22,tropical,1872,298.7372741699219,0.12416330724954605
23,tropical,1873,298.6968078613281,0.0836842879652977
24,tropical,1874,298.2638244628906,-0.34925079345703125
25,tropical,1875,298.31890869140625,-0.29420724511146545
26,tropical,1876,298.296875,-0.3162282407283783
27,tropical,1877,298.2812194824219,-0.33186087012290955
28,tropical,1878,298.4771728515625,-0.1359202116727829
29,tropical,1879,298.5025634765625,-0.11054229736328125
30,tropical,1880,298.6059265136719,-0.0071894326247274876
31,tropical,1881,298.4983825683594,-0.1147359237074852
32,tropical,1882,297.9396057128906,-0.6734898686408997
33,tropical,1883,298.28271484375,-0.33039602637290955
34,tropical,1884,298.1636657714844,-0.44944000244140625
35,tropical,1885,298.2356262207031,-0.3774566650390625
36,tropical,1886,298.0970764160156,-0.5160242915153503
37,tropical,1887,298.3443298339844,-0.26878610253334045
38,tropical,1888,298.3744201660156,-0.2387186735868454
39,tropical,1889,297.9257507324219,-0.6873601078987122
40,tropical,1890,298.1484069824219,-0.46466317772865295
41,tropical,1891,298.46728515625,-0.1458079069852829
42,tropical,1892,298.3406677246094,-0.27241262793540955
43,tropical,1893,298.17596435546875,-0.43714141845703125
44,tropical,1894,298.2052917480469,-0.4077911376953125
45,tropical,1895,298.2258605957031,-0.38724517822265625
46,tropical,1896,298.2180480957031,-0.39503732323646545
47,tropical,1897,298.3522033691406,-0.2608795166015625
48,tropical,1898,298.4112243652344,-0.2018992155790329
49,tropical,1899,298.4697570800781,-0.1433512419462204
50,tropical,1900,298.3810119628906,-0.232086181640625
51,tropical,1901,298.4384460449219,-0.17462921142578125
52,tropical,1902,298.4818420410156,-0.13128407299518585
53,tropical,1903,298.4163513183594,-0.19676463305950165
54,tropical,1904,298.6304016113281,0.01726277731359005
55,tropical,1905,298.3887634277344,-0.22434742748737335
56,tropical,1906,298.5064392089844,-0.1066741943359375
57,tropical,1907,298.40838623046875,-0.204681396484375
58,tropical,1908,298.4742431640625,-0.13886260986328125
59,tropical,1909,298.3027038574219,-0.3104197084903717
60,tropical,1910,298.6803283691406,0.06720733642578125
61,tropical,1911,298.6909484863281,0.07781728357076645
62,tropical,1912,298.2333679199219,-0.3797149658203125
63,tropical,1913,298.1163330078125,-0.4967702329158783
64,tropical,1914,298.2668151855469,-0.3462727963924408
65,tropical,1915,298.11676025390625,-0.49636587500572205
66,tropical,1916,298.1823425292969,-0.43072763085365295
67,tropical,1917,298.4031982421875,-0.20988209545612335
68,tropical,1918,298.4936218261719,-0.11946868896484375
69,tropical,1919,298.4896240234375,-0.12348683923482895
70,tropical,1920,298.3562927246094,-0.2568105161190033
71,tropical,1921,298.5394592285156,-0.07363637536764145
72,tropical,1922,298.4402770996094,-0.17280833423137665
73,tropical,1923,298.40997314453125,-0.2031453400850296
74,tropical,1924,298.6075744628906,-0.0055185952223837376
75,tropical,1925,298.70404052734375,0.09092458337545395
76,tropical,1926,298.33758544921875,-0.27547454833984375
77,tropical,1927,298.3678283691406,-0.2452290803194046
78,tropical,1928,298.6887512207031,0.07567596435546875
79,tropical,1929,298.7912902832031,0.17819976806640625
80,tropical,1930,298.71099853515625,0.09790293127298355
81,tropical,1931,298.2779235839844,-0.33520254492759705
82,tropical,1932,298.5313415527344,-0.0817311629652977
83,tropical,1933,298.5751647949219,-0.03794097900390625
84,tropical,1934,298.7895202636719,0.17641448974609375
85,tropical,1935,298.9654235839844,0.35234323143959045
